iter	Logloss	F1
0	0.6693217671	0.5185185185
1	0.649869751	0.5095119934
2	0.6280547409	0.5165562914
3	0.6087136378	0.5182724252
4	0.5924138875	0.5195670275
5	0.5777437629	0.5213032581
6	0.5611080492	0.5130361648
7	0.5486823148	0.519764508
8	0.5352993222	0.5181434599
9	0.5224558588	0.5160202361
10	0.5114064148	0.5130801688
11	0.5011809845	0.5143824027
12	0.4923071133	0.5119453925
13	0.4831105558	0.5119453925
14	0.4740104886	0.5140425532
15	0.4661602541	0.5115089514
16	0.4595510627	0.5157446809
17	0.4525428	0.513304721
18	0.4460835607	0.5153583618
19	0.4416526516	0.5150214592
20	0.436556948	0.5145797599
21	0.4304291544	0.513304721
22	0.4278001575	0.506044905
23	0.4237458216	0.5030250648
24	0.4199012283	0.5120274914
25	0.4159015423	0.5111876076
26	0.4123423729	0.5154109589
27	0.4073252234	0.5192143467
28	0.403962788	0.5200341006
29	0.4001018008	0.523364486
30	0.3964986859	0.5263157895
31	0.3931738922	0.5255102041
32	0.3900386039	0.5250637213
33	0.3877790668	0.5275657337
34	0.3853497921	0.5267629567
35	0.3830053703	0.5300592718
36	0.3804516049	0.5358045493
37	0.3781058202	0.5378151261
38	0.3761367387	0.535472973
39	0.3742427082	0.5407220823
40	0.3724550803	0.5394957983
41	0.3707648921	0.5419463087
42	0.3691071243	0.5471226022
43	0.3678319743	0.5490848586
44	0.3660387303	0.5538971808
45	0.3646915134	0.5577557756
46	0.3628903976	0.5565648225
47	0.361748769	0.5541770058
48	0.360460075	0.558944765
49	0.3589092125	0.5568369028
50	0.3578253512	0.5580246914
51	0.3568331709	0.5580246914
52	0.3553331146	0.5592105263
53	0.3537049711	0.5599343186
54	0.3523762149	0.562295082
55	0.3514935019	0.562295082
56	0.3501887685	0.5639344262
57	0.3492834232	0.5643970468
58	0.3481859661	0.5641864268
59	0.3477826932	0.5655737705
60	0.346883872	0.5636811832
61	0.3456690662	0.562295082
62	0.3447094904	0.5630114566
63	0.3437921843	0.5613747954
64	0.3433174723	0.5611156686
65	0.3427573693	0.5627563577
66	0.3417137011	0.5613747954
67	0.3410956761	0.5630114566
68	0.3402163868	0.5620915033
69	0.3397715944	0.5616326531
70	0.3390043438	0.5620915033
71	0.3382571072	0.5609157809
72	0.3375415661	0.5620915033
73	0.3371263487	0.5620915033
74	0.336442425	0.5620915033
75	0.336014661	0.5616326531
76	0.3356106757	0.5618892508
77	0.3351000626	0.5630593979
78	0.3343515187	0.5651465798
79	0.3337065392	0.5651465798
80	0.3331570134	0.5632653061
81	0.3327471758	0.5628058728
82	0.3323239287	0.5628058728
83	0.3320085847	0.5628058728
84	0.3315141643	0.5639771801
85	0.3314097867	0.5644371941
86	0.3307891855	0.5623471883
87	0.3301053034	0.5623471883
88	0.3295989491	0.5628058728
89	0.3292718744	0.5635179153
90	0.3285958892	0.5646867372
91	0.328121767	0.5658536585
92	0.3274949116	0.5649350649
93	0.3270122242	0.5660989457
94	0.3264376664	0.5660989457
95	0.3258818355	0.5677210057
96	0.3255034172	0.5665584416
97	0.3248393479	0.5677210057
98	0.3244800101	0.5684210526
99	0.3239123895	0.571197411
100	0.3233805331	0.5735056543
101	0.3230226273	0.5723524656
102	0.3226484821	0.5746569814
103	0.3221344966	0.574433657
104	0.3216147483	0.5797101449
105	0.3212063427	0.578778135
106	0.3208948089	0.5776347546
107	0.320510349	0.5792437651
108	0.3199590858	0.5801772764
109	0.3195735039	0.5803858521
110	0.3192238777	0.5794542536
111	0.3189514014	0.5794542536
112	0.3187136542	0.5799196787
113	0.3186368162	0.578778135
114	0.3182269448	0.5815261044
115	0.3177169712	0.5815261044
116	0.3173088123	0.5826645265
117	0.3168865491	0.5819935691
118	0.3166353499	0.5838011227
119	0.3162934868	0.584
120	0.315994778	0.584197925
121	0.315745696	0.5857940942
122	0.3152276111	0.5869218501
123	0.3149649267	0.5862619808
124	0.3145156853	0.589456869
125	0.3140816822	0.5912350598
126	0.3138655501	0.5939490446
127	0.3135795102	0.5950676213
128	0.3131140234	0.5950676213
129	0.3127487194	0.5950676213
130	0.312361681	0.5961844197
131	0.3122745395	0.5950676213
132	0.3120057739	0.5950676213
133	0.3116605522	0.5961844197
134	0.3113961392	0.5961844197
135	0.3111056437	0.597299444
136	0.3106357671	0.5968253968
137	0.310370364	0.5979381443
138	0.3101141961	0.5968253968
139	0.3098837508	0.5984126984
140	0.3097611916	0.5984126984
141	0.3094401274	0.5984126984
142	0.3091262471	0.5984126984
143	0.3087567079	0.6
144	0.3085707354	0.5988880064
145	0.3081899086	0.6
146	0.3078923248	0.6023715415
147	0.3075237957	0.6023715415
148	0.3071592288	0.6028481013
149	0.3069314966	0.6017418844
150	0.306648374	0.6028481013
151	0.3063630037	0.6050552923
152	0.306153247	0.6050552923
153	0.3059232381	0.6050552923
154	0.3054262973	0.6056782334
155	0.3052450993	0.6056782334
156	0.3051398806	0.6056782334
157	0.3047762695	0.6072555205
158	0.3045912654	0.6072555205
159	0.3043831264	0.6062992126
160	0.3039170013	0.6116352201
161	0.3035135025	0.6117647059
162	0.3032980714	0.6117647059
163	0.3031176659	0.6111547526
164	0.3028825268	0.6133333333
165	0.3027760767	0.6144200627
166	0.3025163017	0.6133333333
167	0.302374716	0.6144200627
168	0.3020733548	0.6133333333
169	0.30164173	0.6133333333
170	0.3012738582	0.6149019608
171	0.3011402457	0.6170712608
172	0.30074952	0.6155050901
173	0.3004484803	0.6165884194
174	0.3001837692	0.6192337764
175	0.2999339366	0.6192337764
176	0.2997075408	0.6192337764
177	0.2994377485	0.6198282592
178	0.2992767396	0.6188620421
179	0.2991290228	0.6188620421
180	0.2987262104	0.6188620421
181	0.2985763397	0.6183800623
182	0.2982588708	0.6194552529
183	0.2980821757	0.6205287714
184	0.2976871307	0.6216006216
185	0.2974401595	0.6211180124
186	0.2971001952	0.6211180124
187	0.296903009	0.623255814
188	0.2966915255	0.6221877424
189	0.296560431	0.6221877424
190	0.2964029778	0.6221877424
191	0.2960380723	0.6221877424
192	0.2958018036	0.6237393328
193	0.2954983133	0.6221877424
194	0.2953302583	0.623255814
195	0.2952187436	0.6243222308
196	0.2950342806	0.6248062016
197	0.2948396277	0.6269349845
198	0.2946639143	0.6258714175
199	0.2942174345	0.6268425136
200	0.2940841957	0.6268425136
201	0.2939703283	0.6274206042
202	0.2938099171	0.6279969064
203	0.2935562118	0.6279069767
204	0.2932140365	0.6269349845
205	0.2930104089	0.629057187
206	0.2926765536	0.6295436968
207	0.2924014605	0.6284829721
208	0.292092064	0.6279969064
209	0.2918663629	0.6295436968
210	0.2915390079	0.6305189775
211	0.2912892657	0.6325581395
212	0.2910150167	0.6320681642
213	0.2906445712	0.6353122591
214	0.290398984	0.6358024691
215	0.2900474794	0.6358024691
216	0.2897531892	0.6358024691
217	0.2894183426	0.6374133949
218	0.2894016447	0.6374133949
219	0.2891959333	0.6369230769
220	0.289020381	0.6374133949
221	0.2886773925	0.6374133949
222	0.2885085626	0.6363636364
223	0.2884092002	0.6384615385
224	0.2882757575	0.6379707917
225	0.2880957939	0.6395080707
226	0.287835952	0.6395080707
227	0.2875604795	0.6405529954
228	0.2874577931	0.6405529954
229	0.2871946746	0.6405529954
230	0.2870943678	0.6420890937
231	0.2869433059	0.6411042945
232	0.2866851804	0.6436781609
233	0.2864392479	0.6436781609
234	0.2862015179	0.6405529954
235	0.285931004	0.6405529954
236	0.2856872958	0.6410453497
237	0.2853510898	0.6431312356
238	0.2850662668	0.6436781609
239	0.2848332879	0.6415963162
240	0.2846919836	0.6431312356
241	0.2844387008	0.6436781609
242	0.2840702732	0.645210728
243	0.2837239133	0.6447166922
244	0.2834394283	0.6447166922
245	0.2832907705	0.645210728
246	0.2831171863	0.646743295
247	0.2830077253	0.6477794793
248	0.2827013332	0.648814078
249	0.2823189094	0.6503442999
250	0.282011908	0.6508422665
251	0.2816631829	0.6508422665
252	0.2814681289	0.6498084291
253	0.2811735331	0.6487730061
254	0.280995673	0.6508422665
255	0.2805430751	0.6508422665
256	0.2803210058	0.6508422665
257	0.279957822	0.6534047437
258	0.2797913104	0.6534047437
259	0.2795540229	0.6539050536
260	0.2794047245	0.6544061303
261	0.2790991765	0.6544061303
262	0.2789382502	0.6549079755
263	0.2787529893	0.6549079755
264	0.2784446335	0.6559633028
265	0.2782957613	0.6569678407
266	0.2781456071	0.6569900688
267	0.2779528306	0.6574712644
268	0.2777492475	0.6584992343
269	0.2774588798	0.6574712644
270	0.2772384015	0.6574712644
271	0.277129518	0.6574712644
272	0.2768692585	0.6574712644
273	0.2766391238	0.6584992343
274	0.27655981	0.6584992343
275	0.2763980489	0.6595256312
276	0.2763155718	0.6595256312
277	0.2759855371	0.6590038314
278	0.2756910825	0.6590038314
279	0.2753322974	0.6620689655
280	0.2750036398	0.662586075
281	0.274880343	0.6636085627
282	0.2746478802	0.6636085627
283	0.2744748099	0.6636085627
284	0.2741940345	0.6646294882
285	0.2739644263	0.6646294882
286	0.2738025814	0.6636085627
287	0.2736682015	0.6636085627
288	0.2734758424	0.665648855
289	0.2732184351	0.6646294882
290	0.2729472251	0.6666666667
291	0.2726478829	0.6671767406
292	0.2724137894	0.6681957187
293	0.2722179312	0.6666666667
294	0.2720360405	0.6666666667
295	0.2718189838	0.6666666667
296	0.2715119491	0.6681957187
297	0.2712743254	0.6676852559
298	0.2710302662	0.6692189893
299	0.2707850882	0.6702371844
300	0.2705646637	0.6702371844
301	0.270279059	0.6707503828
302	0.2700131843	0.6727828746
303	0.269874184	0.6732824427
304	0.2696924673	0.6732824427
305	0.2694353336	0.6722689076
306	0.2692092684	0.6722689076
307	0.269073876	0.6737967914
308	0.2689133013	0.6737804878
309	0.2687122823	0.675304878
310	0.2683600073	0.6763137852
311	0.2682122172	0.6757990868
312	0.2679683284	0.6757990868
313	0.2677862638	0.6778115502
314	0.2676075705	0.6768060837
315	0.2674620005	0.6762917933
316	0.2672425448	0.6757990868
317	0.2670333549	0.6783269962
318	0.2666880016	0.6783269962
319	0.2664530566	0.6818181818
320	0.2661499208	0.6813020439
321	0.2658748122	0.6838124054
322	0.2656986941	0.6878306878
323	0.2655193391	0.6878306878
324	0.2653613927	0.686318972
325	0.2651839947	0.686318972
326	0.2650420379	0.6873111782
327	0.2648726511	0.6873111782
328	0.2645298778	0.6853252648
329	0.2643434985	0.6873580621
330	0.2641167267	0.686318972
331	0.2638588304	0.6888217523
332	0.2636771924	0.6878306878
333	0.2634334682	0.6888217523
334	0.2631437324	0.6883018868
335	0.2629772047	0.6888217523
336	0.2627367624	0.6898113208
337	0.2625950737	0.6898113208
338	0.262329731	0.6898113208
339	0.2620210442	0.6888217523
340	0.2618516131	0.6898113208
341	0.2615331175	0.6903323263
342	0.2613131379	0.6898113208
343	0.2611171377	0.6898113208
344	0.2609231634	0.6907993967
345	0.2608005834	0.6903323263
346	0.2605490786	0.6903323263
347	0.2603699492	0.6908541194
348	0.2601886949	0.6908541194
349	0.260101751	0.6908541194
350	0.2599367398	0.6918429003
351	0.2596987866	0.6928301887
352	0.2594533097	0.6927710843
353	0.259245803	0.6927710843
354	0.2589246585	0.6927710843
355	0.2587418919	0.6927710843
356	0.2584925293	0.6927710843
357	0.2582420181	0.6927710843
358	0.2580326373	0.6927710843
359	0.2578664517	0.6937547028
360	0.2577603483	0.6937547028
361	0.2575568222	0.6947368421
362	0.2572899451	0.6947368421
363	0.25702825	0.6957175056
364	0.2567093472	0.6962406015
365	0.256498283	0.6952595937
366	0.2563187334	0.6962406015
367	0.2562465083	0.6962406015
368	0.2560837138	0.6972201352
369	0.2558330795	0.6966966967
370	0.2556463291	0.6951951952
371	0.2555053999	0.6971514243
372	0.2554021217	0.6981273408
373	0.255253091	0.6971514243
374	0.2551273842	0.6991017964
375	0.2549599068	0.7005988024
376	0.25474852	0.7020164302
377	0.2545356146	0.7014925373
378	0.2544154688	0.7020164302
379	0.2541673306	0.7025411061
380	0.2540052308	0.7015706806
381	0.2538143148	0.7015706806
382	0.2536952667	0.7015706806
383	0.2534920634	0.7025411061
384	0.2532192364	0.7025411061
385	0.253015618	0.7025411061
386	0.2527880627	0.7025411061
387	0.252540428	0.7015706806
388	0.2524266892	0.7025411061
389	0.2522455702	0.7025411061
390	0.2519886173	0.7035100822
391	0.2518323358	0.7035100822
392	0.2516438821	0.7035100822
393	0.2515750114	0.7035100822
394	0.251387745	0.7054436987
395	0.2512372859	0.7054436987
396	0.2510601623	0.7064083458
397	0.2508576326	0.7073715562
398	0.2505621734	0.7083333333
399	0.2503834065	0.7083333333
400	0.25020255	0.7083333333
401	0.2500175338	0.7092936803
402	0.2497533942	0.7102526003
403	0.2494487317	0.7102526003
404	0.2493599233	0.7102526003
405	0.2491849873	0.7102526003
406	0.2490525793	0.7102526003
407	0.2489025294	0.7102526003
408	0.2488394216	0.7102526003
409	0.2487031029	0.7102526003
410	0.2485496661	0.7112100965
411	0.2483626991	0.7112100965
412	0.2481394862	0.7121661721
413	0.2480296961	0.7121661721
414	0.2478498412	0.7131208302
415	0.2476734985	0.7131208302
