iter	Passed	Remaining
0	2	2229
1	4	2034
2	5	1947
3	7	1913
4	9	1860
5	11	1845
6	15	2155
7	17	2206
8	20	2214
9	22	2245
10	25	2255
11	27	2265
12	30	2282
13	31	2241
14	33	2218
15	35	2188
16	37	2161
17	39	2135
18	40	2114
19	42	2095
20	44	2076
21	46	2060
22	47	2022
23	49	2007
24	51	1993
25	52	1980
26	54	1968
27	56	1978
28	58	1967
29	61	1974
30	63	1973
31	65	1970
32	66	1960
33	68	1951
34	70	1942
35	72	1933
36	74	1927
37	75	1919
38	77	1911
39	79	1904
40	81	1896
41	82	1891
42	84	1890
43	87	1894
44	88	1888
45	90	1881
46	92	1876
47	95	1889
48	97	1883
49	98	1877
50	100	1873
51	102	1867
52	104	1861
53	105	1855
54	107	1851
55	109	1845
56	111	1841
57	113	1837
58	115	1834
59	116	1821
60	118	1818
61	119	1815
62	121	1811
63	123	1808
64	125	1805
65	130	1853
66	132	1849
67	134	1845
68	136	1840
69	138	1836
70	139	1830
71	141	1826
72	143	1821
73	145	1817
74	147	1813
75	148	1808
76	150	1805
77	152	1800
78	154	1796
79	155	1792
80	157	1788
81	159	1786
82	161	1782
83	163	1778
84	164	1774
85	166	1770
86	168	1767
87	170	1765
88	172	1763
89	173	1759
90	175	1755
91	177	1751
92	179	1748
93	181	1745
94	182	1742
95	184	1741
96	186	1737
97	189	1747
98	191	1744
99	193	1740
100	195	1738
101	197	1734
102	198	1731
103	200	1727
104	202	1724
105	204	1721
106	205	1718
107	207	1716
108	209	1713
109	211	1711
110	213	1709
111	215	1706
112	217	1703
113	218	1698
114	220	1695
115	222	1693
116	223	1690
117	225	1687
118	227	1684
119	229	1682
120	231	1679
121	232	1676
122	234	1673
123	236	1670
124	238	1667
125	240	1665
126	241	1662
127	243	1659
128	245	1657
129	247	1654
130	249	1652
131	250	1646
132	252	1643
133	253	1641
134	255	1638
135	257	1635
136	259	1633
137	261	1630
138	262	1628
139	264	1625
140	266	1621
141	267	1618
142	269	1615
143	271	1613
144	273	1613
145	275	1611
146	277	1608
147	279	1606
148	280	1604
149	282	1601
150	284	1599
151	287	1603
152	289	1601
153	291	1599
154	293	1597
155	294	1594
156	296	1592
157	298	1589
158	299	1586
159	305	1601
160	307	1604
161	310	1604
162	312	1606
163	315	1608
164	318	1609
165	320	1611
166	323	1611
167	324	1609
168	326	1606
169	328	1603
170	330	1601
171	332	1598
172	333	1595
173	335	1593
174	337	1590
175	339	1587
176	340	1585
177	342	1582
178	344	1579
179	346	1576
180	348	1575
181	349	1572
182	351	1570
183	353	1567
184	355	1565
185	357	1562
186	358	1560
187	360	1557
188	362	1555
189	364	1552
190	365	1549
191	367	1547
192	369	1545
193	371	1542
194	373	1540
195	374	1537
196	376	1535
197	378	1533
198	380	1530
199	382	1528
200	384	1526
201	385	1524
202	387	1522
203	389	1521
204	391	1519
205	394	1519
206	407	1559
207	409	1559
208	412	1560
209	414	1559
210	416	1557
211	418	1554
212	420	1551
213	421	1549
214	423	1546
215	425	1543
216	427	1540
217	428	1538
218	430	1533
219	431	1530
220	433	1528
221	435	1525
222	437	1522
223	438	1520
224	440	1517
225	442	1514
226	444	1512
227	446	1510
228	447	1507
229	449	1505
230	451	1502
231	453	1499
232	454	1497
233	456	1494
234	458	1492
235	460	1489
236	461	1486
237	463	1484
238	465	1482
239	467	1479
240	469	1477
241	471	1476
242	473	1473
243	474	1471
244	476	1469
245	479	1469
246	481	1467
247	483	1464
248	484	1462
249	486	1460
250	488	1458
251	490	1456
252	492	1453
253	501	1473
254	504	1473
255	506	1472
256	509	1471
257	511	1471
258	514	1471
259	516	1469
260	517	1466
261	519	1464
262	521	1461
263	523	1458
264	525	1456
265	526	1453
266	528	1450
267	530	1448
268	532	1445
269	533	1443
270	535	1440
271	537	1438
272	539	1435
273	540	1432
274	542	1430
275	544	1428
276	546	1427
277	548	1424
278	550	1422
279	552	1419
280	553	1417
281	555	1414
282	557	1412
283	559	1409
284	561	1407
285	562	1405
286	564	1402
287	566	1400
288	568	1397
289	569	1395
290	571	1392
291	573	1390
292	575	1388
293	577	1385
294	578	1383
295	580	1381
296	582	1378
297	584	1377
298	586	1374
299	588	1372
300	589	1370
301	591	1368
302	594	1367
303	597	1368
304	600	1368
305	603	1368
306	605	1367
307	608	1366
308	609	1363
309	611	1361
310	613	1359
311	615	1356
312	616	1354
313	619	1352
314	621	1350
315	622	1348
316	625	1346
317	627	1344
318	628	1342
319	630	1340
320	632	1337
321	634	1335
322	635	1332
323	637	1330
324	639	1328
325	641	1325
326	642	1323
327	644	1320
328	646	1318
329	648	1316
330	649	1313
331	651	1311
332	653	1309
333	655	1306
334	657	1304
335	658	1301
336	660	1299
337	662	1297
338	664	1296
339	666	1294
340	668	1292
341	671	1291
342	675	1292
343	677	1291
344	680	1291
345	682	1290
346	685	1289
347	689	1291
348	692	1292
349	695	1291
350	698	1290
351	700	1290
352	703	1289
353	706	1288
354	708	1287
355	711	1286
356	714	1286
357	716	1284
358	719	1284
359	722	1283
360	724	1282
361	727	1281
362	730	1281
363	732	1279
364	734	1277
365	735	1274
366	737	1272
367	739	1269
368	741	1267
369	743	1265
370	745	1264
371	748	1263
372	750	1262
373	753	1261
374	755	1259
375	758	1258
376	760	1255
377	761	1253
378	763	1251
379	765	1248
380	767	1246
381	770	1246
382	771	1243
383	773	1241
384	775	1238
385	777	1236
386	779	1233
387	780	1231
388	782	1229
389	787	1230
390	789	1229
391	792	1228
392	795	1229
393	798	1228
394	800	1226
395	802	1223
396	804	1221
397	806	1219
398	808	1217
399	810	1215
400	811	1212
401	813	1210
402	815	1208
403	817	1206
404	819	1203
405	821	1201
406	822	1198
407	824	1196
408	826	1194
409	828	1192
410	830	1189
411	831	1187
412	833	1184
413	835	1182
414	837	1180
415	839	1177
416	840	1175
417	842	1173
418	844	1170
419	846	1168
420	847	1166
421	849	1163
422	851	1161
423	853	1159
424	855	1156
425	856	1154
426	858	1152
427	860	1150
428	862	1147
429	864	1146
430	866	1143
431	868	1141
432	870	1139
433	871	1137
434	873	1134
435	875	1132
436	877	1130
437	878	1127
438	880	1125
439	882	1123
440	884	1121
441	886	1119
442	888	1117
443	890	1114
444	892	1112
445	894	1110
446	895	1108
447	897	1106
448	899	1104
449	901	1101
450	903	1099
451	905	1097
452	906	1095
453	908	1092
454	910	1090
455	912	1088
456	914	1086
457	917	1085
458	919	1083
459	920	1081
460	922	1078
461	924	1076
462	926	1074
463	928	1072
464	929	1069
465	933	1069
466	935	1067
467	936	1064
468	938	1062
469	940	1060
470	942	1058
471	944	1056
472	945	1053
473	947	1051
474	949	1049
475	951	1047
476	952	1044
477	954	1042
478	956	1040
479	958	1038
480	960	1036
481	962	1034
482	964	1032
483	966	1030
484	967	1027
485	969	1025
486	971	1023
487	973	1021
488	975	1018
489	976	1016
490	978	1014
491	980	1012
492	982	1010
493	984	1008
494	986	1006
495	988	1003
496	989	1001
497	993	1001
498	995	999
499	997	997
500	999	995
501	1001	993
502	1002	990
503	1004	988
504	1006	986
505	1008	984
506	1010	983
507	1012	980
508	1014	978
509	1016	976
510	1018	974
511	1019	972
512	1021	969
513	1023	967
514	1025	965
515	1026	963
516	1028	961
517	1030	958
518	1032	956
519	1034	954
520	1035	952
521	1037	950
522	1039	948
523	1041	946
524	1043	943
525	1045	941
526	1047	940
527	1049	938
528	1051	935
529	1052	933
530	1054	931
531	1056	929
532	1058	927
533	1060	925
534	1061	922
535	1063	920
536	1065	918
537	1067	916
538	1069	914
539	1071	912
540	1073	910
541	1074	908
542	1076	906
543	1078	904
544	1080	901
545	1082	899
546	1084	898
547	1086	896
548	1088	894
549	1090	891
550	1092	889
551	1093	887
