iter	Passed	Remaining
398	505883	128055
399	507107	126776
400	508346	125502
401	509463	124197
402	510743	122933
403	512032	121671
404	513164	120371
405	514397	119097
406	515576	117809
407	516816	116537
408	517998	115251
409	519184	113967
410	520279	112663
411	521531	111395
412	522935	110158
413	524230	108898
414	525451	107622
415	526582	106329
416	527805	105054
417	529019	103779
418	530274	102511
419	531563	101250
420	532875	99993
421	534246	98747
422	535488	97476
423	536723	96205
424	537947	94931
425	539293	93680
426	540630	92426
427	541801	91144
428	543026	89871
429	544273	88602
430	545566	87341
431	546793	86069
432	548079	84806
433	549282	83531
434	550673	82284
435	551920	81015
436	553327	79770
437	554782	78530
438	556264	77294
439	557564	76031
440	558846	74766
441	560186	73508
442	561366	72230
443	562542	70951
444	563711	69672
445	564914	68397
446	566153	67127
447	567309	65848
448	568509	64574
449	569933	63325
450	571186	62057
451	572485	60794
452	573747	59527
453	575114	58271
454	576343	57000
455	577550	55728
456	578765	54457
457	580001	53187
458	581233	51918
459	582544	50656
460	583853	49393
461	585344	48145
462	586863	46898
463	588257	45640
464	589474	44369
465	590675	43096
466	591956	41829
467	593375	40572
468	594678	39307
469	595961	38040
470	597139	36766
471	598436	35500
472	599578	34225
473	600824	32956
474	602166	31692
475	603506	30428
476	604748	29159
477	605956	27889
478	607168	26619
479	608230	25342
480	609469	24074
481	610603	22802
482	611865	21535
483	612979	20263
484	614237	18997
485	615387	17727
486	616575	16458
487	617918	15194
488	619331	13931
489	620549	12664
490	621791	11397
491	623029	10130
492	624237	8863
493	625529	7597
494	626780	6331
495	627980	5064
496	629178	3797
497	630275	2531
498	631055	1264
499	631841	0
