iter	Logloss
308	0.3735827316
309	0.3733685519
310	0.3731084072
311	0.3728835272
312	0.3727113579
313	0.3723097182
314	0.3721227301
315	0.3719314731
316	0.3717404778
317	0.3715753863
318	0.3713683329
319	0.3711548116
320	0.3708509341
321	0.3706372157
322	0.3704028043
323	0.3702399832
324	0.3700877006
325	0.3698943855
326	0.369726182
327	0.3694856299
328	0.3692165209
329	0.3689896281
330	0.3687791342
331	0.3685934582
332	0.3683779934
333	0.3679823954
334	0.3677770243
335	0.367593078
336	0.3673423063
337	0.3671057157
338	0.3668594503
339	0.3665850315
340	0.3663973463
341	0.366188604
342	0.366064321
343	0.3659063676
344	0.3655607004
345	0.3653927605
346	0.3652194302
347	0.3649960394
348	0.3647774722
349	0.3645975517
350	0.36437633193351	0.36418631513352	0.36393876773353	0.36376489593354	0.36355401553355	0.36322681643356	0.36298951273357	0.36260543513358	0.36241281633359	0.36220984423360	0.36193276313361	0.36177213036362	0.3614644823363	0.36125957453364	0.36107796833365	0.36089845113366	0.3606901344
367	0.3605052069
368	0.3602783136
369	0.3600509302
370	0.3598792255
371	0.3596813769
372	0.3593727398
373	0.3591724252
374	0.3588849556
375	0.358656068
376	0.3584892537
377	0.3581767231
378	0.3580078171
379	0.3576692083
380	0.3575003727
381	0.3572547754
382	0.3570661785
383	0.3568397548
384	0.3566482976
385	0.3564042579
386	0.3561744544
387	0.3557657867
388	0.355619109
389	0.3553757258
390	0.3551820411
391	0.3549469596
392	0.3547623269
393	0.3545677079
394	0.3543750313
395	0.354183304
396	0.3539988428
397	0.353830015
398	0.3535039182
399	0.3533295744
400	0.3530927046
401	0.3528656526
402	0.3526607095
403	0.3524394405
404	0.3522194776
405	0.3520213913
406	0.3518048205
407	0.351527826
408	0.3513188461
409	0.3511407937
410	0.3507562345
411	0.3504815829
412	0.3503258542
413	0.3501468631
414	0.3499428426
415	0.3497448171
416	0.349464216
417	0.3492522064
418	0.3490313767
419	0.3488486136
420	0.348657367
421	0.3483304894
422	0.3479854625
423	0.3478193144
424	0.3475972296
425	0.3474154834
426	0.347201422
427	0.346666076
428	0.3464298748
429	0.346254467
430	0.3460776603
431	0.3458932784
432	0.3457030715
433	0.3455338235
434	0.3453763187
435	0.345099231
436	0.3448880225
437	0.3446990208
438	0.344487571
439	0.3442385445
440	0.3440595067
441	0.3438136351
442	0.3435888514
443	0.3433928651
444	0.3431703982
445	0.3430093832
446	0.3426068656
447	0.3423742589
448	0.342183434
449	0.3420081013
450	0.3418321662
451	0.3416399315
452	0.341410129
453	0.3412317039
454	0.3407857552
455	0.3405783607
456	0.3403155472
457	0.3400900237
458	0.3399447452
459	0.3397479545
460	0.3395265776
461	0.3393338476
462	0.3391442943
463	0.3388831682
464	0.3387027089
465	0.3384988511
466	0.3383198188
467	0.3381085441
468	0.3379019384
469	0.337704321
470	0.3374451814
471	0.3372180485
472	0.3370003845
473	0.3368193272
474	0.3366538268
475	0.336003079
476	0.3358041732
477	0.3356225939
478	0.3354345436
479	0.3352749397
480	0.3351038801
481	0.33490648
482	0.3346980364
483	0.3345284295
484	0.334310131
485	0.3340984857
486	0.3339017773
487	0.3337166682
488	0.3335616809
489	0.3332261541
490	0.3330089081
491	0.3328476799
492	0.3326239641
493	0.3324474544
494	0.3321017034
495	0.3319284689
496	0.3317642953
497	0.3316104272
498	0.3314329332
499	0.3312631459
33259676
