iter	MAE
201	5.380319676
202	5.375026491
203	5.368862444
204	5.365707595
205	5.362055389
206	5.359747267
207	5.353452449
208	5.349713162
209	5.346153151
210	5.341447382
211	5.339015235
212	5.335901611
213	5.332986196
214	5.33151596
215	5.327472312
216	5.32232943
217	5.319892916
218	5.316889323
219	5.31238165
220	5.309374052
221	5.305023828
222	5.302300423
223	5.299424702
224	5.296420404
225	5.291513936
226	5.288096218
227	5.282998555
228	5.278947435
229	5.274058362
230	5.267784843
231	5.26497131
232	5.261874671
233	5.256101393
234	5.253784404
235	5.250643289
236	5.249176268
237	5.244967604
238	5.242178482
239	5.236239308
240	5.228503367
241	5.225990905
242	5.222868906
243	5.22033561
244	5.218048467
245	5.214949601
246	5.212449033
247	5.20917629
248	5.2038773
249	5.200804181
250	5.193861104
251	5.188729816
252	5.180698665
253	5.176771281
254	5.173814999
255	5.168853748
256	5.163268449
257	5.15864709
258	5.156704727
259	5.153754169
260	5.149469049
261	5.144212631
262	5.142016224
263	5.136602114
264	5.134222356
265	5.127269475
266	5.124919182
267	5.121076403
268	5.117639991
269	5.116361696
270	5.110353838
271	5.106401158
272	5.103358908
273	5.09923216
274	5.095209478
275	5.092724295
276	5.089069514
277	5.084584468
278	5.081268337
279	5.080146429
280	5.077177963
281	5.075072645
282	5.071925974
283	5.068723334
284	5.063748573
285	5.059386254
286	5.056947034
287	5.04911809
288	5.046637872
289	5.044441483
290	5.040576453
291	5.036683617
292	5.032263669
293	5.024751713
294	5.019411073
295	5.013026331
296	5.007982068
297	5.004764363
298	5.002990113
299	5.00001518
300	4.997530224
301	4.993689627
302	4.989492065
303	4.985104696
304	4.976677816
305	4.971538572
306	4.968507882
307	4.965567007
308	4.963909657
309	4.961807686
310	4.958532929
311	4.955226941
312	4.95278999
313	4.949119889
314	4.943760426
315	4.93936416
316	4.935324185
317	4.930347348
318	4.92660865
319	4.921728445
320	4.918175814
321	4.914416311
322	4.910908522
323	4.905757746
324	4.901909698
325	4.898295798
326	4.894683756
327	4.890762498
328	4.887585318
329	4.883530749
330	4.876651566
331	4.87194257
332	4.869757296
333	4.863766431
334	4.859874442
335	4.856791091
336	4.852693194
337	4.846689782
338	4.843049551
339	4.840309856
340	4.837233667
341	4.832971896
342	4.830797118
343	4.828712245
344	4.827002833
345	4.82184646
346	4.820490259
347	4.81838536
348	4.812776203
349	4.806595705
350	4.803194342
351	4.798680638
352	4.795984534
353	4.794131589
354	4.790252558
355	4.786047769
356	4.7791121
357	4.776752518
358	4.77316253
359	4.768505812
360	4.764505072
361	4.761797604
362	4.759993852
363	4.757419447
364	4.753853272
365	4.748926093
366	4.743275622
367	4.74122702
368	4.737424759
369	4.732908324
370	4.728313416
371	4.726828442
372	4.722606368
373	4.715988598
374	4.713403844
375	4.711055812
376	4.707568073
377	4.70409285
378	4.701871718
379	4.699768294
380	4.69784986
381	4.695009311
382	4.69016509
383	4.686393783
384	4.681592015
385	4.679102879
386	4.67517278
387	4.672224345
388	4.668536674
389	4.665737742
390	4.662059556
391	4.661756673
392	4.657569728
393	4.654261254
394	4.652707727
395	4.649587944
396	4.647393437
397	4.645264291
398	4.642119772
399	4.640212437
400	4.637306576
401	4.63348176
402	4.630156501
403	4.627697937
404	4.625789155
405	4.623269255
406	4.620835207
407	4.616009095
408	4.614123614
409	4.611986696
410	4.60859228
411	4.606659179
412	4.603941762
413	4.60105199
414	4.5975133
415	4.596680747
416	4.594628353
417	4.591350708
418	4.586257766
419	4.582640454
420	4.578464063
421	4.574081804
422	4.570793633
423	4.568824641
424	4.567599316
425	4.564829358
426	4.562485901
427	4.559409586
428	4.557616702
429	4.553682372
430	4.551819097
431	4.550702054
432	4.548909778
433	4.548124941
434	4.545534546
435	4.541036462
436	4.539027621
437	4.537361703
438	4.53611315
439	4.533535858
440	4.528988662
441	4.526087757
442	4.523124127
443	4.520096609
444	4.516101249
445	4.513060912
446	4.510128481
447	4.506725492
448	4.504531172
449	4.503594247
450	4.499699768
451	4.49861951
452	4.49730938
453	4.494129534
454	4.491407059
455	4.489666392
456	4.488836246
457	4.487223636
458	4.483958949
459	4.482161353
460	4.478389557
461	4.477136787
462	4.472207922
463	4.470175872
464	4.466811845
465	4.464585207
466	4.46205985
467	4.459111306
468	4.457231464
469	4.456567946
470	4.454064367
471	4.451610042
472	4.448211883
473	4.446689539
474	4.443993264
475	4.442811944
476	4.441587646
477	4.439109694
478	4.438622514
479	4.436602008
480	4.434713869
481	4.432773964
482	4.43113349
483	4.426867869
484	4.424872364
485	4.41981626
486	4.418512853
487	4.41625775
488	4.413053203
489	4.409112362
490	4.406063996
491	4.404637411
492	4.40365135
493	4.4019857
494	4.39771637
495	4.395294749
496	4.393300083
497	4.391292898
498	4.388570467
499	4.386811029
500	4.385340601
501	4.383376723
502	4.381174594
503	4.378546852
504	4.376260315
505	4.373754538
506	4.370739135
507	4.368929281
508	4.365118635
509	4.363976769
510	4.360178805
511	4.358406129
512	4.356229454
513	4.35292747
514	4.351061149
515	4.347417199
516	4.345630907
517	4.34417348
518	4.341728779
519	4.340574962
520	4.338974253
521	4.33740133
522	4.334765275
523	4.33229922
524	4.330677327
525	4.327418013
526	4.323406824
527	4.321643321
528	4.31875615
529	4.315785033
530	4.313010844
531	4.311831242
532	4.310359904
533	4.308223612
534	4.304949162
535	4.303304091
536	4.302041976
537	4.300823975
538	4.297658938
539	4.294771492
540	4.293036141
541	4.291828302
542	4.291037518
543	4.287399608
544	4.286372856
545	4.28407612
546	4.280990196
547	4.27682108
548	4.273028465
549	4.271330154
550	4.26932367
551	4.267318021
552	4.265581366
553	4.264100826
554	4.262263364
555	4.258838198
556	4.258318676
557	4.255685921
558	4.254587028
559	4.252880592
560	4.250524179
561	4.24879183
562	4.247826609
563	4.247044748
564	4.244354603
565	4.241911524
566	4.240398825
567	4.238837397
568	4.238070305
569	4.235419964
570	4.233935596
571	4.233182046
572	4.232685229
573	4.22916974
574	4.228509402
575	4.226092917
576	4.221972575
577	4.221044202
578	4.218772968
579	4.217764143
580	4.215727166
581	4.214463441
582	4.211704553
583	4.210104192
584	4.209182545
585	4.208086678
586	4.204716751
587	4.203575281
588	4.201886451
589	4.200740138
590	4.199166518
591	4.198268902
592	4.197284252
593	4.196095121
594	4.193876405
595	4.192272306
596	4.190782302
597	4.189038744
598	4.187038484
599	4.185407042
600	4.18400205
601	4.1814223
602	4.179211138
603	4.178411971
604	4.177492737
605	4.176175728
606	4.173685694
607	4.173239928
608	4.17164674
609	4.17112426
610	4.168286487
611	4.167301201
612	4.165643686
613	4.163739329
614	4.163014921
615	4.161755454
616	4.161250487
617	4.159560171
618	4.158737143
619	4.156888315
620	4.153937916
621	4.152207009
622	4.150939574
623	4.149250891
624	4.147334479
625	4.144461583
626	4.143300153
627	4.142010154
628	4.139623541
629	4.138054625
630	4.136686321
631	4.135308525
632	4.134530054
633	4.131513007
634	4.12960541
635	4.127187509
636	4.124209711
637	4.120166721
638	4.118732798
639	4.1179061
640	4.116940531
641	4.115463321
642	4.114539405
643	4.111101222
644	4.110426662
645	4.108975357
646	4.106658605
647	4.104769509
648	4.101722938
649	4.099872598
650	4.097316379
651	4.095821958
652	4.09422188
653	4.093078006
654	4.091220027
655	4.090090727
656	4.088736615
657	4.084672829
658	4.083464112
659	4.082285625
660	4.082146531
661	4.081403647
662	4.079021689
663	4.076718487
664	4.075268218
665	4.07439273
666	4.072904065
667	4.070510678
668	4.070121522
669	4.067240459
670	4.065451255
671	4.064406077
672	4.063587477
673	4.061677418
674	4.060405601
675	4.058831417
676	4.057221798
677	4.054878083
678	4.053525746
679	4.051498831
680	4.049071182
681	4.047567787
682	4.044069962
683	4.041701046
684	4.039312428
685	4.037104742
686	4.034596416
687	4.032108518
688	4.030809697
689	4.028242292
690	4.026803451
691	4.023212429
692	4.022638865
693	4.021435067
694	4.020156012
695	4.018236942
696	4.015180189
697	4.013883642
698	4.010716652
699	4.008599802
700	4.007981945
701	4.006044245
702	4.003844496
703	4.000756062
704	4.000291396
705	3.999350034
706	3.996520728
707	3.996034639
708	3.994352369
709	3.993195587
710	3.990793418
711	3.98990322
712	3.988090022
713	3.986701559
714	3.986254808
715	3.983012454
716	3.982768664
717	3.978989361
718	3.978206621
719	3.977795645
720	3.97621625
721	3.973872151
722	3.972849872
723	3.969900897
724	3.968629409
725	3.965048408
726	3.963686965
727	3.96244275
728	3.960282927
729	3.958808455
730	3.95823015
731	3.957797793
732	3.956715424
733	3.95588155
734	3.955194223
735	3.954152353
736	3.953058472
737	3.952312897
738	3.950380108
739	3.948286732
740	3.9451791
741	3.944059198
742	3.942918036
743	3.942515351
744	3.940394539
745	3.938888476
746	3.935846865
747	3.934699028
748	3.933957288
749	3.932380735
750	3.931267391
751	3.928952218
752	3.928695736
753	3.927978455
754	3.926134088
755	3.923897895
756	3.923181339
757	3.921323353
758	3.919654744
759	3.91850575
760	3.916628552
761	3.91555844
762	3.913783976
763	3.912594844
764	3.909851157
765	3.908581422
766	3.907967661
767	3.90755323
768	3.905845824
769	3.904422872
770	3.903595349
771	3.901195073
772	3.900339201
773	3.898176609
774	3.896115408
775	3.894707593
776	3.892346722
777	3.891465526
778	3.890178059
779	3.889703535
780	3.889257237
781	3.888817912
782	3.887173092
783	3.885239029
784	3.88365483
785	3.883107393
786	3.881340737
787	3.880782825
788	3.878440013
789	3.877895456
790	3.876967829
791	3.875410353
792	3.874416135
793	3.873154289
794	3.872468033
795	3.872020604
796	3.871119095
797	3.870685893
798	3.87013824
799	3.868834244
800	3.867974409
801	3.867022474
802	3.866510351
803	3.865256119
804	3.863842176
805	3.861303949
806	3.860459463
807	3.859684935
808	3.858432194
809	3.857620907
810	3.85712534
811	3.85627938
812	3.855724478
813	3.855075084
814	3.853344192
815	3.851438349
816	3.850447423
817	3.849212569
818	3.848543659
819	3.847472609
820	3.846143328
821	3.845610053
822	3.842858954
823	3.841732825
824	3.841017777
825	3.840038042
826	3.838814269
827	3.838119976
828	3.837366708
829	3.837264154
830	3.83574065
831	3.834647815
832	3.832105475
833	3.829971991
834	3.82931279
835	3.828530355
836	3.828413309
837	3.827115984
838	3.82500633
839	3.823589315
840	3.821851988
841	3.82050574
842	3.819938904
843	3.81864823
844	3.817719601
845	3.815958956
846	3.814708356
847	3.813456808
848	3.813125269
849	3.812605364
850	3.812105887
851	3.811634179
852	3.810741865
853	3.809076962
854	3.808182079
855	3.80736651
856	3.806896934
857	3.806002468
858	3.805333324
859	3.803608675
860	3.802684565
861	3.802194473
862	3.801615034
863	3.801387558
864	3.800309302
865	3.797528429
866	3.795934664
867	3.795741881
868	3.794175635
869	3.793615606
870	3.793241791
871	3.792350025
872	3.791674661
873	3.791328074
874	3.789324858
875	3.789137261
876	3.787166649
877	3.786945065
878	3.786622623
879	3.786078482
880	3.784180591
881	3.783532431
882	3.782543263
883	3.781113653
884	3.780276763
885	3.779950233
886	3.778746882
887	3.778290354
888	3.777544445
889	3.777131901
890	3.776507968
891	3.775579489
892	3.774978535
893	3.77378256
894	3.772149258
895	3.771822948
896	3.770237819
897	3.76985855
898	3.768671598
899	3.767293388
900	3.766007462
901	3.76410693
902	3.763743501
903	3.763091454
904	3.762507788
905	3.76196359
906	3.7601605
907	3.758839187
908	3.758018662
909	3.756541104
910	3.754442693
911	3.752916361
912	3.752666701
913	3.750327402
914	3.749304228
915	3.74794422
916	3.746938676
917	3.746437172
918	3.743692752
919	3.742853853
920	3.742656491
921	3.741268232
922	3.740601159
923	3.740163189
924	3.738840504
925	3.73856409
926	3.738255995
927	3.735246922
928	3.73431931
929	3.733853135
930	3.733068813
931	3.732276537
932	3.731263102
933	3.73083657
934	3.730555643
935	3.730397128
936	3.729994612
937	3.728390299
938	3.728231622
939	3.727939054
940	3.727871981
941	3.727170347
942	3.726088629
943	3.724382036
944	3.72391628
945	3.723549591
946	3.722380902
947	3.72201507
948	3.721111724
949	3.720236125
950	3.719377271
951	3.718160821
952	3.717042171
953	3.716102044
954	3.715588206
955	3.714222611
956	3.713401352
957	3.712977812
958	3.712724258
959	3.712528018
960	3.71228157
961	3.711211997
962	3.709760209
963	3.708400185
964	3.708162635
965	3.706230272
966	3.706003053
967	3.705092555
968	3.704125404
969	3.703864655
970	3.703021198
971	3.702182681
972	3.701940931
973	3.700445128
974	3.70004154
975	3.699336134
976	3.698794607
977	3.697802538
978	3.69744599
979	3.697090912
980	3.695970593
981	3.695458153
982	3.694667834
983	3.693875663
984	3.693456912
985	3.692965771
986	3.691783243
987	3.690894491
988	3.690337045
989	3.689329012
990	3.688942199
991	3.688748683
992	3.687937424
993	3.686994505
994	3.68661862
995	3.686042468
996	3.683969438
997	3.682943374
998	3.682417358
999	3.682229764
