iter	Passed	Remaining
0	3	3644
1	17	8703
2	23	7737
3	26	6534
4	28	5765
5	48	7972
6	51	7266
7	69	8559
8	84	9323
9	96	9528
10	101	9115
11	104	8620
12	108	8204
13	111	7859
14	115	7598
15	119	7330
16	121	7012
17	139	7590
18	145	7502
19	152	7496
20	156	7297
21	162	7219
22	166	7059
23	171	6976
24	175	6830
25	178	6700
26	183	6617
27	186	6481
28	194	6518
29	198	6404
30	200	6280
31	203	6146
32	205	6016
33	209	5951
34	213	5881
35	216	5808
36	220	5743
37	222	5638
38	226	5583
39	229	5510
40	234	5485
41	238	5437
42	242	5405
43	246	5349
44	250	5315
45	254	5272
46	257	5230
47	261	5194
48	265	5146
49	269	5114
50	272	5067
51	275	5026
52	278	4971
53	281	4935
54	286	4915
55	289	4879
56	292	4840
57	296	4810
58	300	4787
59	304	4772
60	307	4730
61	310	4697
62	312	4641
63	314	4605
64	318	4580
65	329	4667
66	334	4652
67	337	4624
68	340	4592
69	343	4561
70	346	4534
71	349	4509
72	353	4487
73	357	4468
74	361	4456
75	365	4442
76	369	4433
77	373	4412
78	376	4388
79	379	4366
80	383	4349
81	387	4333
82	391	4321
83	395	4313
84	400	4312
85	404	4298
86	407	4276
87	410	4257
88	413	4235
89	417	4217
90	421	4206
91	424	4189
92	428	4174
93	431	4163
94	437	4164
95	440	4150
96	444	4134
97	448	4126
98	451	4111
99	455	4099
100	459	4093
101	464	4087
102	467	4074
103	471	4062
104	475	4056
105	479	4047
106	484	4040
107	487	4026
108	490	4012
109	494	4000
110	497	3987
111	501	3977
112	505	3969
113	509	3961
114	513	3955
115	517	3947
116	521	3937
117	525	3926
118	528	3912
119	531	3901
120	535	3893
121	540	3887
122	545	3886
123	548	3873
124	555	3886
125	558	3871
126	561	3861
127	566	3860
128	569	3848
129	573	3838
130	577	3827
131	581	3821
132	584	3810
133	587	3795
134	591	3787
135	595	3782
136	598	3772
137	602	3765
138	605	3752
139	609	3743
140	612	3731
141	616	3725
142	620	3718
143	624	3711
144	627	3701
145	633	3707
146	637	3698
147	640	3684
148	643	3673
149	646	3664
150	651	3663
151	655	3657
152	658	3647
153	663	3646
154	666	3632
155	669	3621
156	673	3615
157	677	3608
158	680	3600
159	683	3590
160	688	3585
161	692	3581
162	696	3575
163	699	3564
164	702	3556
165	706	3548
166	709	3540
167	713	3534
168	717	3526
169	720	3516
170	723	3509
171	727	3501
172	730	3491
173	733	3483
174	738	3479
175	741	3473
176	745	3466
177	749	3462
178	753	3455
179	756	3447
180	761	3445
181	765	3439
182	769	3435
183	773	3429
184	777	3425
185	781	3418
186	784	3409
187	788	3406
188	792	3402
189	797	3401
190	802	3397
191	807	3399
192	811	3391
193	814	3383
194	817	3376
195	821	3371
196	824	3361
197	829	3359
198	833	3353
199	836	3346
200	839	3337
201	843	3333
202	847	3327
203	851	3323
204	855	3317
205	859	3311
206	863	3308
207	871	3317
208	874	3310
209	878	3306
