iter	Logloss	F1
0	0.6691317294	0.5382794002
1	0.6456344477	0.5390070922
2	0.623041694	0.5405831363
3	0.601978749	0.5428796223
4	0.5858394015	0.5448768864
5	0.5684310128	0.5387045814
6	0.5545720681	0.5405405405
7	0.5410174065	0.5469125902
8	0.5277780885	0.5313531353
9	0.516841981	0.5409836066
10	0.5038408023	0.5493072535
11	0.4920873334	0.5491470349
12	0.4814423558	0.5541195477
13	0.4736728718	0.5481239804
14	0.4648162888	0.5497553018
15	0.4567198751	0.554374489
16	0.4490444981	0.5526315789
17	0.4418224063	0.5539215686
18	0.4354234769	0.5558272209
19	0.4302089365	0.5602605863
20	0.4245983961	0.5628548256
21	0.419083539	0.5593495935
22	0.4141402575	0.5586319218
23	0.4092075157	0.5616883117
24	0.4051668501	0.5660989457
25	0.4008309291	0.5640194489
26	0.3973395263	0.5628548256
27	0.3941571618	0.5653939886
28	0.3909043883	0.5677210057
29	0.3872890073	0.5642276423
30	0.3843001131	0.5684210526
31	0.3814742767	0.5684210526
32	0.37889157	0.569579288
33	0.3756054328	0.5702746365
34	0.3724946173	0.567502021
35	0.3696581084	0.5688960516
36	0.3675814494	0.5728077233
37	0.3656432004	0.5723472669
38	0.3643421192	0.5723472669
39	0.3625372627	0.5728077233
40	0.3605932867	0.5751004016
41	0.3587442985	0.5785656728
42	0.3570563185	0.5849358974
43	0.3554493961	0.5888
44	0.3541770447	0.5854049719
45	0.3526477346	0.5889864326
46	0.3513929955	0.5923566879
47	0.3502308867	0.5912350598
48	0.3491562289	0.5934765314
49	0.3478348796	0.5923566879
50	0.3467102704	0.5926517572
51	0.3460125626	0.5890850722
52	0.3449179963	0.5902165196
53	0.343625742	0.5924739792
54	0.3423985925	0.5924739792
55	0.3414123564	0.5953711093
56	0.3403181386	0.5958466454
57	0.3392135258	0.5942492013
58	0.3382511332	0.5926517572
59	0.3372032153	0.5948963317
60	0.3368075115	0.5948963317
61	0.3360533041	0.5950676213
62	0.3355502925	0.5961844197
63	0.3348497245	0.5961844197
64	0.3341669417	0.5977742448
